cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,page-faults:u,IPC,CPI
133367354,169347523,388524,60010,4530604,342691,3683,671,213072,1443,118804,4926,325331,19699,256000,86682,363735,5493279,86682,751,989,4990,1433016,30719,1.27,0.787536491
224944440,307825455,385457,822551,2168957,1342150,16155,29821,274589,3955,16551,6558,76658,72318,256676,780689,257955,462921,780689,194931,322212,90096,21758,6898,1.37,0.730753212
307177235,563663285,340132,43913,13064281,768374,4617,526,313738,551,30,350,709842,1122277,2063358,95856,20316,7530,95856,3827,3082,5118,762002,27,1.83,0.544965839
308183670,569597929,296160,29681,13148665,762286,6126,372,292756,355,50,15,717550,1114954,2070694,80234,2850,15817,80234,5237,288,5393,766100,0,1.85,0.541054759
308544549,569638995,308782,29132,13099495,760351,5004,122,307800,841,55,25,713221,1116649,2071861,75026,25628,10290,75026,3438,75,6259,768317,0,1.85,0.541649276
308917961,570323421,326770,28038,13052518,758181,5003,275,319074,470,60,35,714513,1103067,2047503,108607,607,10371,108607,3669,287,5772,768581,0,1.85,0.541653998
309184529,569656707,344303,24074,12999354,759834,5036,125,334062,6700,9120,2175,34003,48695,28517,491645,41882,105981,491645,29077,317425,36751,616349,448,1.84,0.542755883
300412188,523352122,228787,1136417,13356243,229147,117602,165141,447964,5417,19006,360,9237,187551,331560,822563,132673,1821791,822563,70843,318738,5119,199204,2185,1.74,0.57401542
293899635,527362192,404356,1269121,7827856,19585,54878,64775,409135,12519,10695,516,17523,174307,392657,415251,88871,691651,415251,26841,116621,26643,19265,700,1.79,0.5573013
306918150,514485162,478311,1388157,11146365,16641,122048,98400,411885,6235,20406,145,10626,54556,137281,260682,179743,602492,260682,9257,66796,26942,16170,282,1.68,0.596553939
309065838,367997509,336046,1218763,5227388,68556,211240,214612,268320,6261,230,90,6495,5889,16233,118027,98359,39117,118027,4265,23745,3345,55330,1618,1.19,0.839858506
306169067,463767854,584720,1628155,10341148,88446,113601,198281,535170,2335,892,300,12389,291550,518310,163716,180001,144780,163716,4856,7348,12209,2596731,593,1.51,0.660177424
307109211,541356336,383076,1761769,9458342,16375,62977,71896,417150,10158,9237,335,12195,30009,132522,569448,192184,851109,569448,22545,316706,7906,17683,229,1.76,0.567295865
307785381,516066857,480077,1635151,11130721,16797,115020,69395,409585,7197,18122,90,6530,43050,211229,466296,252993,740624,466296,52152,4185,13243,14363,382,1.68,0.596406021
309022453,340691623,402034,76512,3216617,46203,2778,958,491489,205,902,2550,65020,317272,465505,120321,42040,114465,120321,3195,156100,11157,32471,7,1.1,0.907044471
309207981,438682243,64453,21958,134286,334817,7602,72090,207810,4204,14324,2415,146043,358943,797251,227779,179033,573622,227779,2412,5663,3721,15067,878,1.42,0.704856387
301991541,496115781,425194,2085552,9179708,15904,84879,253807,408269,8499,18675,1185,22257,250310,479873,342273,132990,690293,342273,13445,23669,16326,11889,421,1.64,0.608711822
307838963,354563699,331890,1090661,7218489,15371,67194,189776,420350,11037,19037,1049,20732,155106,358802,985788,96097,357008,985788,86663,264882,46553,11456,0,1.15,0.868219064
309032733,218781605,760670,471456,3346996,6662,16382,45070,717610,3240,7160,1771,27736,369718,439553,614064,52901,697432,614064,53287,289888,1998,6102,313,0.71,1.412516985
284518195,412570910,318636,1875968,3413846,26616,99553,11490,120703,709,154,1315,50046,26938,134171,14439,3420,6734,14439,1190,8325,2606,42671,764,1.45,0.689622531
306234589,500907326,595616,2085920,9311249,15974,49015,135614,307911,1025,160,826,5604,4786,15936,561311,13061,95034,561311,33481,298780,28402,186446,262,1.64,0.611359773
307882025,529671696,424508,1464750,10411732,19054,94909,101784,409412,10989,24041,831,19376,246255,331447,363710,22419,368548,363710,97388,786895,128005,16937,280,1.72,0.581269544
307626191,502720552,467724,1902571,9794698,24552,154184,113809,327087,1140,4140,135,10651,286113,438164,373730,53323,57941,373730,37465,322856,95506,17513,313,1.63,0.611922846
306355055,339008610,489994,85347,3334518,46008,5221,42650,606853,1373,8279,20,6245,17266,23520,382945,5237,242170,382945,21837,201965,18683,46166,0,1.11,0.903679275
308903729,438065948,64531,27703,612958,31993,4495,1747,395822,225,4238,1768,50673,511334,587909,60046,127984,458434,60046,4059,6010,4059,15108,764,1.42,0.705153483
309032592,543681178,281096,1249242,5567448,792536,95603,185517,320981,4350,14712,9780,102607,129027,377918,695484,74659,948838,695484,75627,676772,79687,21795,413,1.76,0.568407744
308738395,389812328,367018,1367121,8512662,25824,72638,146276,358438,2060,6552,235,15687,271758,434813,484907,45804,72769,484907,34677,422967,100501,14732,141,1.26,0.792018037
300168085,297994084,203952,662611,4294301,18720,68233,188543,328943,8345,10877,305,12424,189101,482901,762370,41489,357179,762370,74889,79323,101300,20706,311,0.99,1.00729545
307939865,298785279,744964,227789,3737348,20131,3895,44110,779595,521,5336,50,7370,48951,192758,13749,135591,5393,13749,689,10128,2536,43834,0,0.97,1.030639348
308189876,395464997,426893,75876,3085312,72113,112604,239978,489760,13522,30214,2034,22565,4309,13800,38232,12829,21374,38232,2706,6734,2844,15717,481,1.28,0.779310124
304398729,421505620,342477,627736,7333590,1540951,86379,170843,610428,6671,18259,691,16575,76456,87464,913664,90205,949392,913664,78032,390186,72308,17757,542,1.38,0.722170037
306758796,490968409,390190,1531336,7535719,15973,64542,196018,414309,8535,15948,531,18924,318637,288264,90838,16809,110302,90838,839,173618,112267,21988,0,1.6,0.624803532
308535963,562608214,381583,1244221,9810801,14545,74744,72038,470921,12258,8453,290,17079,258892,231714,113068,7072,216037,113068,2774,103861,4418,25038,313,1.82,0.548402877
308933243,261780423,890262,520172,3948385,26008,5406,16614,595317,140,50,315,41072,25667,128754,12561,21983,8457,12561,1371,234508,159638,33554,0,0.85,1.180123553
297527207,416013257,139012,619665,873247,27038,2596,2762,65356,491,160,330,5387,4335,34775,445442,127276,1292239,445442,28906,362612,128403,120934,885,1.4,0.715186841
305611608,538390752,458606,1641419,7803025,15004,76934,94732,332451,14312,29963,431,15147,78859,114989,650344,52651,583761,650344,122162,841284,198008,88187,421,1.76,0.567639037
307323700,527345955,458475,1684571,9877255,16510,53814,110475,297750,1262,5762,315,13971,274247,243251,464061,25403,254513,464061,10578,80762,5967,11601,0,1.72,0.582774357
308929096,495190699,436489,1512155,8682932,14500,53487,102299,482544,1388,6635,45,4591,17805,17667,628666,57474,628062,628666,50668,428297,98194,16758,313,1.6,0.623858842
309127145,348221363,581374,50982,2974460,42891,1494,125,647160,75,2320,1929,52655,505175,631028,383049,268299,863456,383049,9504,180357,6195,51195,764,1.13,0.887731707
309238913,438766945,64414,20506,131929,617918,15963,75041,218982,4104,14896,1248,98711,291700,495735,59422,171676,315421,59422,2117,4423,2694,14786,118,1.42,0.704790816
300409105,499843355,418791,1643352,8075754,15236,31014,114323,345031,8676,16255,736,12868,79303,124250,291552,175731,524765,291552,8953,47688,50519,13330,421,1.66,0.601006499
308840000,262484097,305515,1097641,5836832,13222,59988,160126,392269,7041,11908,436,18320,278978,536129,803000,130982,815916,803000,87524,318601,49167,15264,0,0.85,1.176604615
308829100,224746699,703331,281238,2978644,5231,1368,47615,913403,2310,12154,1826,34785,186943,348490,881823,57302,340980,881823,83556,372455,62111,13686,316,0.73,1.374120738
308945968,372300147,619424,976297,4892369,52942,205103,234084,369959,9852,8505,982,23515,23979,144557,9245,12421,5312,9245,601,6170,1785,42219,764,1.21,0.829830368
306070543,468804942,430534,1090242,9094112,472026,108328,208275,578491,5913,13926,1142,20246,9504,27466,43689,11564,13506,43689,3107,6715,2844,140312,262,1.53,0.652873969
307540179,492560145,387355,1328673,7641331,15740,81859,179537,411470,11918,18161,1018,18435,195923,466130,650108,95589,1347662,650108,61078,330244,20033,8771,280,1.6,0.624370815
308665949,552141518,375910,1406826,10074196,15244,94411,77107,487805,12796,5475,1178,23012,181098,240283,89838,1146,63594,89838,43731,586325,119249,19895,0,1.79,0.559034122
308946954,274003620,990190,468288,3943718,27254,5487,28536,711325,7598,5074,1327,22327,123540,160774,113426,4115,243090,113426,5594,81000,4930,5174,313,0.89,1.127528731
292402490,402558343,158948,1130434,1416850,26557,2710,2176,178714,531,92,1133,39898,23692,121851,12453,29630,10148,12453,526,232240,148653,74240,764,1.38,0.726360527
307825798,545841196,391706,1633156,12094360,130013,114674,203143,436719,870,181,110,5263,4172,13596,613571,86930,1063756,613571,25080,243840,21566,385460,270,1.77,0.563947537
306272256,533318303,375808,1519153,9087443,25958,29071,56054,337596,2374,822,441,12910,344989,690156,207736,78614,633842,207736,19512,135989,946,10337,280,1.74,0.574276664
308115652,532402981,436298,1623127,11032246,24569,91665,44799,474756,12155,12046,426,11811,28584,100548,507460,10050,309710,507460,89376,719696,60986,11875,0,1.73,0.578726384
308958067,367867468,738125,616126,5640561,32671,40125,30270,491386,11801,18897,370,9357,9684,67995,81623,3000,278614,81623,1879,31357,632,4628,311,1.19,0.839862434
300751643,399694235,117950,194550,1093410,37293,3166,1115,473331,120,50,651,40456,24414,126682,593406,28135,3332,593406,108661,1022730,334426,45177,481,1.33,0.752454293
305252445,527264283,332120,1307849,4380478,25061,7379,2555,77708,541,135,105,4440,20191,268197,291890,201763,1197144,291890,117356,588398,157604,19657,262,1.73,0.578936323
306825876,528374566,385020,1331031,9117322,23561,119630,144453,364244,9915,15173,401,10853,44154,108029,500165,64825,778002,500165,69989,399398,6861,12929,280,1.72,0.580697664
307950247,513446433,467693,1441070,8697491,21167,35806,96111,263574,867,7115,325,14748,274633,288517,577468,35155,596495,577468,64824,426087,77097,17597,0,1.67,0.599770935
307641388,399752166,423938,1130023,6970063,19087,55796,101733,475906,1383,6480,20,4195,18212,18150,254296,269,198189,254296,7862,189008,7417,41022,313,1.3,0.76958029
