cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,l2_rqsts.swpf_miss:u,page-faults:u,mem-stores:u,l1d_pend_miss.pending:u,frontend_retired.itlb_miss:u,IPC,CPI
456743952,1155324371,5821840,69954,504730,3570952,8460,21353,3575972,1348,2224,170,31320,34213,99377,303357,29452,221584,303357,20377,70037,10262,3539442,182,0,121335048,2323640,1493,2.529479298,0.395338282
456655008,1172869257,5473817,41239,276414,3812320,4222,5418,5581182,591,993,343,20195,85309,244591,183227,114948,174549,183227,3958,22452,4001,4046129,75,16,122105389,2856245,1212,2.568392411,0.389348604
457115409,1186526744,4815873,63584,332157,4593228,6168,6955,4453169,1973,282,504,16426,191204,179987,277210,3350,18169,277210,69566,9664,66190,11142,0,1,119684395,3670514,1728,2.595683105,0.385255041
454393692,1194582598,4912892,56368,337260,4757820,4590,6563,5035219,345,1162,80,15295,77520,201105,672576,7728,168959,672576,47094,70684,14880,4389393,1607,38,122882924,4296024,2355,2.628959466,0.38037863
446246016,1194707053,4346638,66364,337071,5077124,6870,7860,4481741,925,857,1162,24976,224016,245532,459465,14955,20091,459465,69852,23428,26578,5675931,281,0,124548913,4884211,4489,2.677238586,0.373519194
451691182,1284222161,3725986,55986,413559,5939345,42746,2566,1777590,5324,583,140,11952,168557,174830,118414,67333,268332,118414,7329,1265,7849,6334787,300,1236,125987522,4398642,1814,2.843141979,0.351723554
452356363,1373180892,2583572,126894,695684,337443,38660,1470,206800,2510,230,70,9769,131275,166531,452935,7007,182595,452935,23833,28236,5172,4779319,200,13,123807681,4035790,3308,3.035617501,0.329422267
389395081,1251027983,80525,340430,2255401,120626,199627,11959,48180,4314,333261,1893,19224,309979,367495,344792,149839,9325619,344792,39054,35774,137588,39921,0,30574,133732314,48572284,988,3.212747269,0.311260089
444973570,1453080845,2683499,163503,2756583,2891791,6133,2639,2782314,1347,425,170,77738,62380,137119,98073,5630,30194,98073,8411,13665,8185,2898718,983,0,99472679,22044599,5130,3.265544165,0.306227676
456759782,1528825633,2465568,233681,2009280,1695940,43801,71710,1585619,2926,266,450,64038,34327,87542,82032,5630,18049,82032,4690,11379,5379,2418103,757,0,100365283,10154520,1493,3.347110874,0.298765125
454774112,1522373763,2871669,105698,2211140,3002158,7708,3058,2835755,660,344,562,62358,29477,80741,98608,3187,30723,98608,7264,14622,6425,2888804,776,0,101681868,11227600,2550,3.347538312,0.298726977
434385272,1457789006,2331977,150862,2627889,2913149,11127,3636,2265265,1773,516,205,69801,57744,141733,82025,12111,35905,82025,8316,14354,7847,2840628,795,0,93775247,19397108,6431,3.35598166,0.297975407
456856274,1534301498,2611573,113177,2144838,3309930,6054,3596,2391910,1818,4178,340,17235,141228,207355,355858,57265,331878,355858,12708,34953,17651,3381056,1084,0,100653565,10239818,1347,3.358389904,0.297761734
456904240,1541150672,2782499,108752,2798257,2890301,7596,3029,2422889,1492,531,225,74958,76709,181239,145105,13214,26837,145105,7352,14348,7653,2876121,989,0,102305126,13424731,1352,3.373027731,0.296469546
454170562,1532374782,2531213,132835,2409447,3570306,7164,6273,2306569,1452,5085,506,74797,34954,112095,205774,11649,88713,205774,16178,37092,78103,3034963,1038,0,101431244,14363352,2254,3.374007279,0.296383474
457780709,1547125635,2505377,148293,2271897,3731293,11209,5535,2313832,2767,656,245,32375,20998,58907,90680,13313,44314,90680,7320,19207,8028,3564080,1102,0,103545179,11392832,1132,3.379621737,0.295891102
454487147,1537476338,2461952,108015,2112636,3491672,20515,48967,1998358,1933,5079,280,49861,34751,109218,6697950,99287,145430,6697950,13104,16097,12382,3504025,995,0,105195014,9679266,2123,3.382881888,0.295605946
448716463,1520402108,1832118,178649,2844115,2790177,14259,4680,1811164,4464,746,581,129725,62204,210200,468039,66664,64582,468039,15775,20134,13063,2615024,1114,0,95855711,21420380,3721,3.388335917,0.295130124
452658145,1534695601,2753450,133562,2811958,2618954,6989,2783,2851970,1453,756,546,93006,107016,327225,190290,19591,59318,190290,15670,26819,15526,2976105,2472,0,96812455,17180184,3762,3.390407569,0.29494979
455325907,1547210834,2590654,164215,2459603,2827062,30733,46026,1881182,3917,1077,175,68368,65374,133181,138097,6274,50981,138097,12042,29075,13777,3892983,1434,0,95628553,14682281,2059,3.398029434,0.29428821
432184816,1469580441,1583349,238691,1471753,621556,91652,37129,1013641,4343,2660,290,57576,36432,93408,64434,9018,48314,64434,6476,14967,7565,2754152,1002,0,95573144,17239647,8091,3.400351855,0.294087213
444372814,1512789983,1716854,301098,3141801,2828646,29957,45552,1416956,3209,631,836,139422,48610,163021,332357,70437,103613,332357,13539,14382,16797,2988513,1867,0,94194801,20462153,3143,3.404326132,0.29374389
443204856,1512142403,1868050,178695,1452946,866669,69701,2221,103169,6031,2304,586,69859,48053,107321,106984,4627,42179,106984,7532,17569,8534,3380220,1014,0,97178586,20311382,6244,3.411836271,0.2930973
447778511,1527928252,2255055,178909,2244412,3488774,13973,5203,2948036,1833,4188,631,51848,55976,172021,105421,10433,57651,105421,8517,24016,11948,3780126,1546,0,100516423,13046982,3386,3.412241129,0.293062525
456741858,1563955252,2249318,207278,2274508,4409859,13714,7893,2243125,1287,1352,270,54480,100197,265780,312220,284553,21018,312220,10182,20670,9483,3751243,1127,0,99125168,13979717,1468,3.424155734,0.292042792
457059479,1565886302,2273019,127341,2062424,3984384,9146,5042,2438850,1196,824,586,71777,119907,225296,653315,41754,68387,653315,50529,65206,12897,3908167,1322,0,100951539,11796300,1639,3.426001153,0.291885483
452797060,1551529857,2515813,162318,2360458,3550306,11206,5918,2392141,1568,4589,325,31672,157141,201892,446680,51785,222231,446680,7027,14048,9288,3402468,1083,0,93564365,14805049,2159,3.426545784,0.291839089
449771401,1542118888,2202869,123604,2407950,2547378,7124,2754,1965716,1182,541,90,47334,31243,84025,60377,3820,24004,60377,6625,11115,8228,2598967,869,0,97076702,20139841,2955,3.42867262,0.291658059
456175180,1564089393,2435908,106090,2205448,2996840,6023,3237,2372560,1352,696,75,32473,20443,82568,149411,244912,44361,149411,7185,15688,5950,3062231,883,0,104199410,9564745,1999,3.428703405,0.29165544
449960854,1543879236,2344957,130381,2205609,3639258,7791,3955,2604149,761,691,85,37085,23056,68758,70772,4904,38126,70772,6651,16786,8039,3457437,998,0,95961445,13406187,4908,3.431141225,0.291448219
452678085,1558326943,2553899,90685,2448112,2461958,6121,2396,2604184,827,319,847,139297,34951,114865,63066,6726,30081,63066,4622,10183,5298,2387918,826,0,98379287,11983011,2635,3.44246164,0.290489802
453140111,1560144692,2112994,374153,3503577,2387471,25030,48717,1622692,1698,1062,150,111320,59071,170325,163986,10515,58345,163986,16570,29638,17830,2652098,2772,0,90803550,13951937,4159,3.442963124,0.290447491
448306748,1544815012,2044896,131117,1743392,4259663,28869,36589,1636379,2029,7009,170,102962,55997,180891,113120,18993,199480,113120,11529,3419,15674,4230850,3259,1526,96450690,16406883,3291,3.445888376,0.290200927
455965370,1571800833,2341512,109158,2341171,3115160,9741,4409,2133150,837,409,55,35384,19915,56181,67226,12688,33520,67226,6801,15600,6788,3065854,901,0,103610644,10033936,1688,3.447193441,0.29009106
