cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,IPC,CPI
2048750395,3415624857,9616396,9180374,23893901,76677082,1545741,1318972,10752537,664008,318492,134057,8905322,4883440,13832221,1.67,0.599817158
1982801326,3324141648,10633677,8027629,23294097,64905541,1584835,1235414,9819197,588199,315497,186276,11738303,3665821,16745667,1.68,0.596485209
1931403757,7336324694,3380625,4951655,9485628,10654703,1899345,1442420,4105223,444343,234753,83455,643167,684010,2339770,3.8,0.26326585
1134623535,4331606728,2100171,2522570,6581646,1779795,949333,43692,1784199,77554,93481,46488,2202057,698085,2448279,3.82,0.26194057
1740276172,3636802866,3776561,7734422,23056771,64363480,1758670,2914980,3498131,156389,93599,187289,28295702,6323151,40136217,2.09,0.478518148
2085281043,3534161911,5397506,6882107,34550252,110832696,1032772,2069167,5447120,218904,42725,289380,48815989,10152744,63616633,1.69,0.590035515
1249280712,2256251274,2885545,4668967,21832737,50585730,868274,1726341,5294911,161433,225252,222949,13322232,3454204,21750463,1.81,0.55369751
2248645149,3455929720,15417612,12614434,30781081,79290899,1775822,2267168,16171570,382330,387832,733669,14753221,5190532,20953502,1.54,0.65066287
1986843049,3246213529,17595153,9785076,34292506,57508427,1131872,1694352,18437029,280253,203279,491370,13965033,3327918,20151132,1.63,0.612049402
1711120505,2884141683,16689796,9088560,34665318,47092880,1189477,1415755,19054431,277312,197716,452029,13470691,3267089,14787354,1.69,0.593285869
1975666676,3510738947,12668489,10184464,31584437,67486208,1363068,2251103,14466129,294375,240753,432499,10044961,3765748,17309621,1.78,0.562749525
2181681153,3345457253,17101668,11746023,31937614,63518987,1581043,1832508,17953461,305102,218813,544256,16095020,4227293,22630340,1.53,0.652132426
2104951941,3256967492,18792388,10183437,30467318,64354521,1236025,1475067,18334710,272492,228611,448509,14974151,3704620,21800518,1.55,0.646291971
2255343036,3092060694,19589078,11385671,34490610,53879176,1078353,999449,19502565,294075,181198,451676,15654040,3874080,21025984,1.37,0.729398048
2079898639,3090298059,16909347,10706072,35518760,39780399,1114471,964170,17667389,260480,122866,394410,13747338,4209273,18609767,1.49,0.673041435
1931418301,3051170191,15512410,11151697,35407067,51359708,1195248,1614620,17328702,305502,181164,384770,10376115,3521683,17079883,1.58,0.633009036
1890896555,3078566046,12677396,9577785,30657422,50236474,1331311,1851410,13158589,277987,217309,356813,8299703,3203294,13263192,1.63,0.614213412
2025867751,3202360316,15428578,11658412,29631931,63829283,1528077,2164880,15439554,309863,286969,530123,16284237,3694356,23419273,1.58,0.632617055
2109983070,3319269027,19969466,10413148,32373042,58651226,868669,1266862,19742362,273975,149310,500239,17909411,3393950,22096260,1.57,0.635677028
2122987919,3429788153,19977902,10838328,33279000,57612205,1035085,1177642,20142715,283332,162711,503431,18055593,3672660,22767108,1.62,0.618985146
1881037658,3309208733,14037474,10726324,30284117,63540932,1554945,1954388,15078249,323073,221666,438135,11075383,3224731,17663060,1.76,0.568425207
2082364462,3493656044,17440938,10439688,37243957,51722914,1115002,1436608,17242498,233814,284505,428228,12254745,3173080,18617558,1.68,0.596041635
1990351069,3130417757,16471163,10626172,31264844,56279752,1428286,1530838,18165185,383732,196558,449043,8363380,2950549,15478132,1.57,0.635810049
2171077942,3140272161,17568479,12007250,29906566,57415385,1506318,1391808,16884290,308680,207056,428018,14097585,3276219,19451436,1.45,0.691366172
2002438106,3232106288,14081981,10946243,28166143,55608017,1447783,1720843,13789345,297926,219414,465230,11668106,3427372,16139701,1.61,0.619545871
2167625889,3081563505,15375626,11653760,26900337,63432407,1515257,1907464,13282432,308748,265358,408125,12412143,3980723,20243438,1.42,0.703417562
1791073176,3056292649,12604917,9223148,28586870,59221448,1227627,1615214,15549809,249735,240670,410165,12058509,3217587,14550307,1.71,0.586028035
2095692357,3543952541,17164037,11126028,28987759,63140046,1419024,1947658,15919003,330602,327825,416737,12732211,3656241,20891365,1.69,0.591343234
2064840478,3330481546,18769255,11227934,32986832,60962345,1479841,1731714,17437972,294529,256306,458767,15660527,3264713,21444571,1.61,0.619982561
2030911452,3569143464,16085430,10344306,33029980,56351041,1247239,1967324,17245107,275192,155828,436560,15161845,3038044,18767982,1.76,0.569019282
1943175114,3283945060,16111159,10229654,30758853,58991139,1263929,1238162,18598454,338506,197322,459761,13307287,3254353,18716046,1.69,0.591719739
2065404546,3383631111,14451523,10736422,31170779,64480851,1439493,1961493,15383832,339858,229335,390042,11023356,4006356,16831282,1.64,0.610410674
2003698538,2958870345,13636910,12182220,30291595,56307480,1723383,1656608,13617392,312828,184995,392640,14369686,3951097,19906113,1.48,0.677183622
2013601944,3094595297,15551992,11118891,29097153,54460883,1438643,1387895,17488699,273394,208276,412359,11805626,3374061,17112282,1.54,0.65068345
2042583648,2720418089,18309459,10286681,29543559,47752839,960785,1133133,19792228,259258,164472,411518,14649930,2929070,20341305,1.33,0.75083446
1974009468,3287782788,18305401,8690397,31804138,52852741,871212,1099347,21022108,267185,141304,430546,15188045,3570688,18513148,1.67,0.600407507
1855873824,3187753360,15012257,9740879,29681236,54819502,1197389,1646396,16397563,283638,231607,474628,18145754,3822209,22419340,1.72,0.58218865
2087179258,3427347981,15457598,11524621,28057925,61845170,1544846,1890196,12193523,318042,231898,563788,17407387,3936502,23978525,1.64,0.608977924
2075187322,3510273094,15464934,11416437,33009612,65292016,1495877,1965572,16100742,265707,210467,463074,13431965,3510619,19071503,1.69,0.591175463
2099921020,3563758088,17113531,10048645,39581682,61882804,1096660,1629529,17194198,281238,173993,365401,12674880,3582892,21258241,1.7,0.589243425
1840883822,3162695112,16132920,9391782,35003994,44062425,1154557,1457043,17684893,238330,205617,353687,11506407,4120075,14881251,1.72,0.582061741
2241182912,3656613152,16724606,10160444,36861918,58390740,1323243,1602076,16465145,283638,248144,411274,12150735,3659592,18493504,1.63,0.612912227
2087729797,3356763790,16160731,10493525,34516217,49171381,1052429,1307759,16977115,227667,157812,391463,14770083,3646361,18676787,1.61,0.621947187
1643701326,2570682583,11475729,9905786,25738591,40584463,1276934,1545220,14477918,243715,183492,356963,9324790,3463177,14417470,1.56,0.639402677
2221586319,3175275652,15363926,10838373,28140096,58258880,1313780,1418506,16826003,254823,220360,414827,14468639,3899106,20207681,1.43,0.699651483
2120855952,3662283087,18962130,9425374,39933902,55223518,1019749,1439553,18104777,231143,244206,349897,13601566,3395099,20238428,1.73,0.579107595
1895014947,3256685082,14010919,9696627,29916413,53395377,1014285,1725885,15087936,205002,199213,399115,13165454,3262476,18323304,1.72,0.581884616
1785935231,3011336332,15780371,9535040,31599812,44846274,1035903,1595572,16524424,225522,220297,350028,12377179,3265406,16587723,1.69,0.593070662
2112266867,3490385809,16396945,10579322,28949310,69693253,1410283,2051820,16029651,291034,264421,462539,14098843,3506679,19617604,1.65,0.60516716
1688725098,2697151006,14745919,9163436,29949044,61290873,1414523,1646690,17126181,356437,225455,362635,9550461,3500820,14124846,1.6,0.626114405
2228270005,3355447194,15810209,11591787,33588561,59553634,1611845,1691189,16338221,307202,228161,420842,13818815,4476576,19974581,1.51,0.66407542
2205075408,3221213807,18889805,10884529,34253482,50322036,1386657,1035210,18987959,310269,120105,434851,13261758,3997406,20879530,1.46,0.684547981
2035428809,3074485586,15949108,10737684,33145224,43995882,1261789,1307977,16265716,255189,187460,371160,11804113,3723195,17518969,1.51,0.66203882
1865950345,3153401574,17018387,9486567,35486983,56730634,1174509,1438731,17521354,338425,208309,413721,14993968,3971830,15949435,1.69,0.591726205
2098815515,3443226625,13980375,11540713,37718615,61031547,1566751,1809701,14656443,330946,257703,449169,11074406,5408783,16524140,1.64,0.609549049
2246633787,3644937105,18229962,10645050,40575910,51879463,1526717,1367834,18718748,368880,242341,426134,12460754,5338294,17319803,1.62,0.616371071
1985121199,3472852444,18528424,9717366,37289991,47231028,1167920,1174391,19951692,320145,161381,285406,9035775,3441437,13093905,1.75,0.571611156
2032435371,3553212423,16719960,10385413,34368033,54115275,1228918,1677463,16578561,262701,221018,320320,10414502,4148433,15922166,1.75,0.571999399
2121597299,3463034227,15585783,10160869,31018016,58196705,1450509,1671412,16295842,326104,235359,429321,11086398,3553005,16828191,1.63,0.612641158
2269018368,3231602677,19359723,11410643,34031547,59457633,1490276,1422953,18798236,321757,229870,465640,15570766,3601109,19804496,1.42,0.702134079
2207734273,3230910974,22162148,10066280,35990613,48380698,786909,795434,21271506,259321,103343,409500,16844512,3806014,19115238,1.46,0.683316344
2079767438,3531440933,14885634,10606397,34436749,48881416,1286742,1665743,15293678,238576,177015,319998,8984175,3358182,13721857,1.7,0.588928847
2252742923,3579205173,18349964,10494772,38520310,56778038,1321516,1347282,20261872,364579,195513,536573,17182824,4608913,22065896,1.59,0.629397538
2006309038,3240853162,17796986,10041150,31857938,49094018,1039151,1485757,17259852,268227,178550,281574,11354346,3863537,18039933,1.62,0.619068171
2226430782,3669398485,15948173,10848232,36039028,60819389,1346829,1499728,18799753,308829,206212,550402,13023981,4946812,17650593,1.65,0.606756337
2218976810,3493638328,22974471,10140291,36931432,50607112,908189,849214,22536891,328537,104628,400313,18806753,3561025,22967964,1.57,0.635147832
2126658001,3351776633,17441985,9532691,34449750,53643039,1273144,1463076,17243354,277630,205349,398073,10253773,4136652,15241709,1.58,0.634486791
2108632094,3179112499,16532698,12952146,32874470,49192490,1564685,1595405,14966808,342159,220279,343381,9677475,4017315,17027868,1.51,0.663276966
2058884835,3055145683,14246135,12361937,30691660,53765490,1673069,1816520,13516305,356247,280166,342440,7694226,4826005,15341772,1.48,0.673907253
2243867025,3199788679,17445578,9843452,31562545,57662795,1336638,1499574,17755338,380095,270787,467832,12410775,4597520,18848983,1.43,0.701254755
2129678726,3585820511,17408019,11422744,38433768,51869835,1371825,1504128,16537020,377944,219447,498111,11500207,4231726,19640834,1.68,0.593916712
