cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,IPC,CPI
456382788,526301578,2308222,18105979,21471468,321683,76832,19904942,1994052,151803,170,1407,27568,370541,429061,11950206,94428,5723,11950206,194718,363,190292,812873,1.153202075,0.867150712
456932563,585898388,3192417,309301,1552710,10335615,145289,785,2688782,106733,125,786,29703,337447,369600,18080470,42383,7101,18080470,254294,1538,239332,1294191,1.282242579,0.779883632
452508238,583159676,3216056,469297,1426371,3351521,235992,1613,4041808,143115,105,1418,22165,314458,351521,16612953,49501,2172,16612953,216183,732,175069,10568424,1.288727203,0.77595941
443535278,576290234,3323495,477927,1518593,2702610,241420,419,4474620,143624,95,2494,24197,286167,316670,20249581,43741,8992,20249581,227191,538,199682,4209595,1.299310929,0.76963872
455507704,631168908,3395922,555387,1640198,9562392,181343,754,2870830,106520,175,681,45313,347380,401793,20932410,98307,6567,20932410,247958,1815,267667,1008420,1.385638272,0.721689073
453186921,654245148,3665377,509920,1556648,3953219,200290,255,3471859,120843,150,536,63135,342202,404941,16997468,35697,13888,16997468,187128,729,241722,859174,1.443654081,0.692686713
455716285,719856992,4309496,755894,1727317,713169,244853,71,4646937,151847,130,1958,23102,347678,387023,12583979,71877,3719,12583979,157205,169,184691,571614,1.579616563,0.633065026
418263336,672854912,3459057,244279,1088608,1032799,167798,263,3564127,103212,350,741,8857,273539,283716,8802519,37512,2072,8802519,149245,87,153885,829842,1.608687289,0.621624853
451109693,729649736,3696837,1049827,1463797,1415965,293032,429,3946694,169900,228,1792,37843,364316,385321,14269658,104307,12826,14269658,236447,1784,265338,1388260,1.617455238,0.618255131
418928684,678361061,4008113,233155,1054641,654965,163175,97,3862822,120376,100,641,9162,290948,292743,8095843,33544,4157,8095843,136607,1019,155176,650943,1.619275755,0.61756004
417683028,681696640,3781152,258427,1108976,614591,162017,90,3826850,117140,45,952,10431,276968,284782,8263662,27013,3476,8263662,154474,6,153049,761718,1.63209083,0.612710997
451077031,737508149,3688619,699594,1908725,1281664,241890,363,3967089,182369,198,2116,60207,373286,390933,13095994,40615,7733,13095994,237873,939,245662,1076049,1.6349938,0.611623114
418933239,686293155,3366078,270811,969898,704260,191426,97,3390719,121714,145,661,8346,303505,310086,12264120,86351,5018,12264120,197890,219,195914,1323743,1.638192177,0.610428992
418907452,689680904,3776077,234371,1044446,699408,162051,131,3905858,116528,170,1417,10915,317096,323652,12418527,35191,5981,12418527,137799,558,113152,745359,1.646380127,0.607393143
455786756,750518479,3588836,561047,1975334,7357297,192258,449,3330153,144368,85,1237,24336,320322,354295,16491038,56610,8493,16491038,225200,137,216771,906824,1.646643895,0.607295848
452975881,746128602,3865972,1059433,1456678,709865,294926,651,4307369,172491,230,1337,29231,383985,405268,43561757,53906,15205,43561757,327121,701,298289,814836,1.647170707,0.607101617
453540083,749340598,4014573,1025978,4372604,1076646,204991,13129202,1834352,31106,231434,4282,55787,372221,450892,41308832,148976,32644,41308832,292289,3795,283160,1165560,1.652203688,0.60525225
454396281,751963696,4680864,890480,1640470,999384,254058,280,4686084,168441,85,1993,27558,394738,412178,15515927,62932,16393,15515927,274592,306,257750,685257,1.654863227,0.604279546
417887462,692508780,3592669,251659,1083867,729135,167102,247,3618841,104006,60,826,7790,287218,302341,9018235,22319,3325,9018235,155773,18,136158,736104,1.657165728,0.603439948
418787556,696013816,3699560,219302,997196,754735,146653,84,3700013,102341,75,706,9028,297091,310680,9234323,43350,8053,9234323,174104,468,173992,798346,1.66197349,0.601694315
418937933,697840148,3651411,216019,1049411,779044,147799,37,3682687,100046,15,1081,9808,279361,299550,9821099,38621,7639,9821099,162130,822,167393,720079,1.665736361,0.600335097
418907518,697850298,3616782,233595,1075763,740548,168203,93,3545331,109075,85,666,8926,262138,279995,8858944,104892,4917,8858944,155009,125,163906,715994,1.665881532,0.600282782
418996587,699475109,3626742,237000,1031819,754816,170533,119,3474299,113261,70,1012,8838,286443,315578,8977865,109615,2946,8977865,154487,331,152474,809914,1.669405267,0.599015721
417965139,699514575,3655063,233039,1081386,707984,155339,72,3962465,109157,50,1708,10604,281840,302207,7614522,53590,4357,7614522,138270,31,149224,653694,1.673619424,0.597507406
454678843,761066313,4348962,958049,1454167,837119,283241,1399,4243604,159325,310,1547,25682,314573,346748,32764849,65449,6026,32764849,302855,2654,322593,609741,1.673854688,0.597423425
452369008,758037028,3925741,930235,1465735,1339878,287870,1648,3921656,147857,205,1753,19272,338558,388265,19254272,147565,12172,19254272,257168,4325,270238,1330271,1.675705043,0.596763735
417958020,702998397,3570864,221062,1010776,650458,151251,153,3588143,101466,230,1041,8856,279931,291049,8952064,42516,3318,8952064,159016,100,167504,723127,1.68198327,0.594536235
453223383,764304344,4585603,965627,1508477,779410,261106,330,4237064,116862,435,966,88338,394170,448112,22090383,32967,5979,22090383,198330,889,263741,1713045,1.686374474,0.592988103
455969747,771339532,3854426,939709,1551824,1363044,299339,3340,3803955,157628,235,2389,45660,365025,436885,38586078,125421,21208,38586078,307495,7840,299770,1384092,1.691646292,0.591140125
451952481,765924813,4238392,847036,1738777,1186185,266134,579,4521097,179788,100,1347,25544,353772,385118,13130338,40201,4821,13130338,236918,763,242015,791691,1.694702087,0.590074213
453730558,769865981,4266795,968322,1411650,1280821,251038,465,4596697,152291,225,2269,28721,353206,400496,31222333,52626,13842,31222333,279808,3882,325521,1256320,1.696747039,0.589363044
453377061,769558960,4044605,1042881,1568205,1171444,249890,249,4141991,185630,285,1853,28299,411477,434295,15857440,102575,8259,15857440,265961,2867,299810,1042394,1.697392802,0.589138824
454728725,774710260,4379359,811635,1563875,934958,222989,216,4534874,151719,185,1197,22032,340105,366227,11663602,55424,7251,11663602,202121,563,194942,1006283,1.703675658,0.586966184
451435030,771933399,3555459,1009390,1383520,1006613,293127,1224,3753389,142407,100,1007,22092,319466,367348,14163901,165224,16256,14163901,244581,1496,239718,1609883,1.709954584,0.584810854
450964643,773206890,4155811,1036071,1391030,803840,248263,334,4716422,159908,80,2304,25883,397654,428490,13722138,67871,4358,13722138,235637,463,238854,621814,1.71456211,0.583239297
456743016,784218215,4453022,1026588,1303143,1232189,256229,522,4517909,178291,400,1392,19931,397271,417166,22795145,143780,11672,22795145,280709,2931,321087,1089999,1.716979105,0.58241827
455757277,784193243,4772064,1073988,1838173,538357,288499,137,4647830,184833,65,2484,27710,406637,454208,15990727,67189,11195,15990727,273087,1184,273577,547434,1.720637898,0.581179806
453138186,779830762,4021049,1048806,1310383,663924,318051,1111,3939276,176934,148,2722,40398,338784,379955,13453288,105248,10325,13453288,218982,1333,252326,908734,1.72095574,0.581072469
